Branch_ID,Dealer_ID,Model_ID,Revenue,Units_Sold,Date_ID,Day,Month,Year,Branch_Name,Dealer_Name,Product_Name
BR0312,DLR8308,Infinity-M176,14914586,4,DT00001,29,8,2019,Volvo Cars,Deccan Motors,Porsche
BR0822,DLR6329,Tesla-M407,6015475,5,DT00002,15,11,2017,Messerschmitt Motors,Deccan Motors,Volvo
BR7316,DLR4752,Hyundai-M129,7281734,9,DT00003,22,3,2018,Lexus Motors,Infinity Motors,Volvo
BR4163,DLR2072,BMW-M412,13014451,7,DT00004,25,4,2017,Infinity Motors,Lexus Motors,Hyundai
BR9128,DLR3786,Jaguar-M157,8044993,4,DT00005,22,1,2018,Saab Motors,Volvo Cars,Tata
BR6573,DLR2161,Renault-M292,10331396,6,DT00006,13,5,2017,Saab Motors,Porsche Center,Jaguar
BR3425,DLR9792,Honda-M490,5453644,4,DT00007,30,6,2020,Porsche Center,Deccan Motors,BMW
BR4062,DLR5592,Renault-M482,8453556,9,DT00008,8,9,2020,Lexus Motors,Deccan Motors,Volvo
BR5314,DLR2594,Land Rover-M99,15566029,9,DT00009,16,8,2018,Messerschmitt Motors,AC Cars Motors,Cadillac
BR3935,DLR1441,Cadillac-M266,10623170,6,DT00010,2,6,2020,Tesla Dealers,Lexus Motors,Porsche
BR9274,DLR7251,Honda-M273,8672213,5,DT00011,21,10,2018,Volvo Cars,Porsche Center,Porsche
BR8207,DLR4253,Porsche-M498,19972590,8,DT00012,31,4,2019,Jaguar Land Rover,Porsche Center,Jaguar
BR4540,DLR7830,Jaguar-M369,11502533,3,DT00013,18,2,2017,Wiesmann Motors,Deccan Motors,BMW
BR8826,DLR2858,Infinity-M186,13581538,3,DT00014,1,6,2019,Volvo Cars,Saab Motors,Jaguar
BR1348,DLR3386,Infinity-M57,5135402,3,DT00015,28,11,2017,Messerschmitt Motors,AC Cars Motors,Porsche
BR0277,DLR8016,Infinity-M3,12209270,9,DT00016,24,9,2018,AC Cars Motors,AC Cars Motors,Infinity
BR4483,DLR4377,Jaguar-M370,5461191,5,DT00017,20,1,2017,Saab Motors,Lexus Motors,Jaguar
BR1342,DLR7391,Land Rover-M107,12595869,3,DT00018,17,7,2019,Porsche Center,AC Cars Motors,Land Rover
BR5995,DLR0340,Jaguar-M440,8142019,9,DT00019,17,1,2019,Subaru Motors,Subaru Motors,Honda
BR3067,DLR2455,Porsche-M169,14324557,8,DT00020,23,11,2020,Tesla Dealers,Saab Motors,Hyundai
BR5749,DLR8410,Jaguar-M313,16308525,8,DT00021,11,8,2019,Messerschmitt Motors,Subaru Motors,Hyundai
BR1290,DLR9233,Hyundai-M414,8729159,3,DT00022,28,4,2018,Porsche Center,Jaguar Land Rover,Honda
BR0543,DLR9089,Jaguar-M198,6477055,6,DT00023,20,2,2018,Volvo Cars,Subaru Motors,Tesla
BR6340,DLR7915,BMW-M250,13276868,2,DT00024,2,2,2019,Wiesmann Motors,Deccan Motors,Infinity
BR9265,DLR2318,Porsche-M284,16280109,1,DT00025,6,6,2020,Lexus Motors,Porsche Center,Cadillac
BR1365,DLR2922,Honda-M31,14526909,9,DT00026,18,8,2017,Volvo Cars,Subaru Motors,Jaguar
BR7687,DLR0861,BMW-M342,19859578,2,DT00027,28,4,2020,Wiesmann Motors,AC Cars Motors,Jaguar
BR8372,DLR0328,Tesla-M19,6516508,1,DT00028,27,7,2017,Wiesmann Motors,Tesla Dealers,Hyundai
BR0838,DLR7247,Tesla-M221,13002163,8,DT00029,8,8,2017,Infinity Motors,Infinity Motors,Tesla
BR0209,DLR6085,Cadillac-M224,15347147,9,DT00030,18,5,2018,Porsche Center,Porsche Center,Cadillac
BR0152,DLR2764,Land Rover-M184,5171285,9,DT00031,30,6,2017,Saab Motors,Jaguar Land Rover,Renault
BR4768,DLR8056,Tata-M372,17937975,4,DT00032,3,11,2018,Tesla Dealers,Jaguar Land Rover,Tesla
BR5292,DLR2738,Cadillac-M349,9630187,4,DT00033,5,2,2018,Jaguar Land Rover,AC Cars Motors,Tata
BR7117,DLR6718,Tata-M38,11188636,6,DT00034,21,1,2018,Wiesmann Motors,Subaru Motors,Tata
BR9098,DLR7527,Volvo-M360,10410292,6,DT00035,29,2,2017,Saab Motors,Lexus Motors,Jaguar
BR7313,DLR6078,Porsche-M96,16672509,1,DT00036,19,10,2019,Subaru Motors,Subaru Motors,Tesla
BR5174,DLR6542,Land Rover-M451,18847399,7,DT00037,12,9,2017,Tesla Dealers,Messerschmitt Motors,Tesla
BR8597,DLR0924,BMW-M76,6045345,5,DT00038,8,1,2020,Volvo Cars,Subaru Motors,Land Rover
BR6135,DLR8240,Tata-M439,14239807,5,DT00039,27,11,2017,Messerschmitt Motors,Wiesmann Motors,Jaguar
BR2546,DLR6565,Infinity-M36,6887263,10,DT00040,15,7,2018,Lexus Motors,Wiesmann Motors,Honda
BR7946,DLR9109,Infinity-M87,13292013,10,DT00041,7,9,2018,Subaru Motors,Porsche Center,Tesla
BR9852,DLR6023,Porsche-M314,18562277,1,DT00042,20,5,2018,Messerschmitt Motors,AC Cars Motors,Tata
BR1741,DLR2927,Jaguar-M413,8936251,9,DT00043,18,3,2019,Wiesmann Motors,Wiesmann Motors,BMW
BR7673,DLR2909,Honda-M414,6608014,8,DT00044,14,12,2018,Jaguar Land Rover,AC Cars Motors,Porsche
BR2795,DLR3853,Tata-M10,13588183,10,DT00045,30,1,2018,Infinity Motors,AC Cars Motors,Infinity
BR8241,DLR4745,Honda-M64,19465346,3,DT00046,14,5,2019,Deccan Motors,Lexus Motors,BMW
BR0271,DLR3642,Hyundai-M486,16406323,3,DT00047,3,7,2019,Lexus Motors,Jaguar Land Rover,Renault
BR5940,DLR4196,Cadillac-M24,13718864,7,DT00048,3,8,2017,Subaru Motors,Jaguar Land Rover,Infinity
BR2320,DLR8540,Infinity-M259,6647827,7,DT00049,21,9,2019,Porsche Center,Subaru Motors,Jaguar
BR3614,DLR5065,Porsche-M167,8683116,4,DT00050,15,10,2019,Subaru Motors,Porsche Center,Cadillac
BR3959,DLR9326,Tata-M207,17896471,7,DT00051,12,10,2020,Messerschmitt Motors,Deccan Motors,Renault
BR8589,DLR1066,Hyundai-M460,15628908,6,DT00052,20,3,2018,Jaguar Land Rover,Wiesmann Motors,Hyundai
BR6253,DLR5229,BMW-M109,10671362,8,DT00053,10,12,2020,Porsche Center,Messerschmitt Motors,Porsche
BR6979,DLR2366,Renault-M254,13316864,10,DT00054,18,12,2017,Subaru Motors,Infinity Motors,Renault
BR5971,DLR7922,Volvo-M480,14740629,1,DT00055,11,10,2018,Infinity Motors,Volvo Cars,Honda
BR9185,DLR6577,Porsche-M147,7588663,7,DT00056,12,12,2018,Tesla Dealers,Tesla Dealers,Tesla
BR4441,DLR6325,Cadillac-M307,13534171,9,DT00057,10,3,2020,Deccan Motors,Deccan Motors,Cadillac
BR3422,DLR7437,Porsche-M234,18219562,9,DT00058,12,11,2017,Volvo Cars,Tesla Dealers,Tata
BR2462,DLR3556,Porsche-M491,11441147,10,DT00059,18,3,2018,Deccan Motors,Saab Motors,Honda
BR8290,DLR9136,Honda-M6,17306315,6,DT00060,8,8,2019,Lexus Motors,Messerschmitt Motors,Jaguar
BR3766,DLR5633,BMW-M443,17813619,10,DT00061,29,8,2020,Messerschmitt Motors,Porsche Center,Cadillac
BR5726,DLR7218,Porsche-M361,19756246,7,DT00062,22,7,2017,Deccan Motors,Wiesmann Motors,Renault
BR1419,DLR5044,Infinity-M382,19820379,3,DT00063,2,7,2018,AC Cars Motors,Volvo Cars,Infinity
BR2849,DLR0298,Tata-M163,10884149,1,DT00064,22,4,2019,Porsche Center,Wiesmann Motors,Jaguar
BR7878,DLR1197,Land Rover-M456,15061765,8,DT00065,19,4,2020,Saab Motors,Infinity Motors,Tesla
BR6530,DLR6386,Renault-M293,14326163,7,DT00066,15,6,2020,Saab Motors,Infinity Motors,Infinity
BR2656,DLR2309,Land Rover-M408,17700198,4,DT00067,5,8,2017,Lexus Motors,Subaru Motors,Renault
BR9718,DLR0882,Tesla-M421,14175897,3,DT00068,9,3,2017,Wiesmann Motors,Tesla Dealers,BMW
BR4002,DLR5356,Honda-M93,10581047,7,DT00069,15,9,2019,Messerschmitt Motors,Porsche Center,Honda
BR8002,DLR5690,Jaguar-M357,7442612,2,DT00070,28,5,2020,Tesla Dealers,Deccan Motors,Tata
BR3250,DLR5270,Tata-M61,12851647,4,DT00071,16,3,2020,Saab Motors,AC Cars Motors,BMW
BR9799,DLR0025,Honda-M4,17498280,7,DT00072,16,6,2019,AC Cars Motors,Volvo Cars,Porsche
BR3791,DLR4972,Cadillac-M220,13838861,9,DT00073,28,5,2020,Jaguar Land Rover,Tesla Dealers,Honda
BR0466,DLR3592,Cadillac-M154,19273133,1,DT00074,2,2,2018,Volvo Cars,Lexus Motors,Honda
BR4034,DLR3804,Honda-M26,6545835,4,DT00075,8,10,2017,Wiesmann Motors,Deccan Motors,Land Rover
BR8673,DLR7863,Cadillac-M50,8749420,5,DT00076,26,11,2019,Jaguar Land Rover,Porsche Center,Tesla
BR3509,DLR0514,Infinity-M247,15735467,10,DT00077,16,11,2020,Messerschmitt Motors,Tesla Dealers,BMW
BR7285,DLR6657,Tesla-M268,15672121,5,DT00078,1,6,2019,Deccan Motors,AC Cars Motors,Land Rover
BR2321,DLR3270,Honda-M349,7444579,9,DT00079,29,10,2017,Wiesmann Motors,Saab Motors,BMW
BR2332,DLR4329,Tesla-M78,6220405,3,DT00080,19,9,2019,Wiesmann Motors,Porsche Center,Cadillac
BR7388,DLR4206,Land Rover-M391,5602171,10,DT00081,14,11,2019,AC Cars Motors,Wiesmann Motors,Renault
BR3633,DLR0795,Jaguar-M63,13819770,10,DT00082,4,2,2020,Wiesmann Motors,Porsche Center,BMW
BR9892,DLR7444,Tata-M29,19335897,9,DT00083,5,11,2018,Jaguar Land Rover,Wiesmann Motors,Tata
BR9998,DLR7742,Porsche-M240,9091519,8,DT00084,10,7,2018,Messerschmitt Motors,Tesla Dealers,BMW
BR2448,DLR1194,Tesla-M401,9240860,7,DT00085,13,1,2017,AC Cars Motors,Porsche Center,Porsche
BR8297,DLR1856,Land Rover-M438,12489328,5,DT00086,12,6,2019,Saab Motors,AC Cars Motors,Porsche
BR8192,DLR0065,Tata-M406,17253476,6,DT00087,5,5,2019,Jaguar Land Rover,AC Cars Motors,Renault
BR1833,DLR8982,Renault-M492,17417110,5,DT00088,14,9,2019,Deccan Motors,Jaguar Land Rover,Hyundai
BR6713,DLR6548,Infinity-M320,18523404,3,DT00089,13,10,2019,Tesla Dealers,Saab Motors,Tesla
BR2189,DLR9648,Porsche-M320,16476780,4,DT00090,16,8,2017,Lexus Motors,AC Cars Motors,Hyundai
BR4259,DLR7882,Renault-M270,16929615,4,DT00091,21,2,2017,Porsche Center,Lexus Motors,Volvo
